Loading file mallas/AthenaBust.ply

Num vertex: 100000 Num triangles: 199878 Unreferenced vertex: 0

Area    min: 0.0000 max: 0.1330 average: 0.0025 total: 501.8871
Angle   min: 0.0005 max: 3.1402
Triangle 198635 has ShapeFactor 0.0670
Triangle 198637 has ShapeFactor 0.0774
Triangle 198638 has ShapeFactor 0.0121
Triangle 198639 has ShapeFactor 0.0136
Triangle 198653 has ShapeFactor 0.0422
Triangle 198654 has ShapeFactor 0.0006
Triangle 198656 has ShapeFactor 0.0263
Triangle 198657 has ShapeFactor 0.0246
Triangle 198660 has ShapeFactor 0.0466
Triangle 198661 has ShapeFactor 0.0335
Triangle 198662 has ShapeFactor 0.0153
Triangle 198663 has ShapeFactor 0.0515
Triangle 198665 has ShapeFactor 0.0124
Triangle 198667 has ShapeFactor 0.0652
Triangle 198674 has ShapeFactor 0.0075
Triangle 198678 has ShapeFactor 0.0070
Triangle 198685 has ShapeFactor 0.0801
Triangle 198687 has ShapeFactor 0.0078
Triangle 198688 has ShapeFactor 0.0835
Triangle 198689 has ShapeFactor 0.1084
Triangle 198692 has ShapeFactor 0.0708
Triangle 198693 has ShapeFactor 0.0243
Triangle 198694 has ShapeFactor 0.0639
Triangle 198696 has ShapeFactor 0.0154
Triangle 198697 has ShapeFactor 0.0756
Triangle 198698 has ShapeFactor 0.1028
Triangle 198700 has ShapeFactor 0.0140
Triangle 198702 has ShapeFactor 0.0415
Triangle 198704 has ShapeFactor 0.1055
Triangle 198705 has ShapeFactor 0.0687
Triangle 198706 has ShapeFactor 0.1099
Triangle 198708 has ShapeFactor 0.0692
Triangle 198711 has ShapeFactor 0.0126
Triangle 198713 has ShapeFactor 0.0370
Triangle 198714 has ShapeFactor 0.0124
Triangle 198715 has ShapeFactor 0.0699
Triangle 198721 has ShapeFactor 0.0392
Triangle 198737 has ShapeFactor 0.0190
Triangle 198744 has ShapeFactor 0.0071
Triangle 198752 has ShapeFactor 0.0381
Triangle 198754 has ShapeFactor 0.0428
Triangle 198767 has ShapeFactor 0.0572
Triangle 198781 has ShapeFactor 0.0902
Triangle 198783 has ShapeFactor 0.0264
Triangle 198796 has ShapeFactor 0.0216
Triangle 198810 has ShapeFactor 0.0453
Triangle 198812 has ShapeFactor 0.0899
Triangle 198813 has ShapeFactor 0.0132
Triangle 198820 has ShapeFactor 0.0691
Triangle 198827 has ShapeFactor 0.0186
Triangle 198830 has ShapeFactor 0.0114
Triangle 198832 has ShapeFactor 0.0260
Triangle 198834 has ShapeFactor 0.0487
Triangle 198836 has ShapeFactor 0.0237
Triangle 198840 has ShapeFactor 0.0091
Triangle 198842 has ShapeFactor 0.1373
Triangle 198845 has ShapeFactor 0.0710
Triangle 198853 has ShapeFactor 0.0588
Triangle 198854 has ShapeFactor 0.0308
Triangle 198857 has ShapeFactor 0.0492
Triangle 198879 has ShapeFactor 0.0903
Triangle 198941 has ShapeFactor 0.1180
Triangle 198960 has ShapeFactor 0.1033
Triangle 198968 has ShapeFactor 0.1405
Triangle 198992 has ShapeFactor 0.1401
Triangle 199035 has ShapeFactor 0.0818
Triangle 199036 has ShapeFactor 0.0536
Triangle 199179 has ShapeFactor 0.1204
Triangle 199217 has ShapeFactor 0.1385
Triangle 199255 has ShapeFactor 0.1425
Triangle 199270 has ShapeFactor 0.1157
Triangle 199338 has ShapeFactor 0.1200
Triangle 199363 has ShapeFactor 0.1315
Triangle 199862 has ShapeFactor 0.0195
Triangle 199863 has ShapeFactor 0.0092
Triangle 199875 has ShapeFactor 0.0584
Triangle 199876 has ShapeFactor 0.0534
Triangle 199877 has ShapeFactor 0.0151

Saving output to output_statistic.ply
Executing external command: meshlab output_statistic.ply
